Country,Color,Flag,Year,Warheads
Indie,3,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/255px-Flag_of_India.svg.png,1951,0.0
Izrael,4,https://www.countryflags.io/il/flat/64.png,1951,0.0
Pakistan,5,https://www.countryflags.io/pk/flat/64.png,1951,0.0
Rosja,6,https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/255px-Flag_of_Russia.svg.png,1951,25.0
Wielka Brytania,7,https://www.countryflags.io/gb/flat/64.png,1951,0.0
USA,8,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/220px-Flag_of_the_United_States.svg.png,1951,438.0
Korea Pó³nocna,9,https://democracychronicles.org/wp-content/uploads/NK-flag.jpg,1951,
Chiny,1,https://www.countryflags.io/cn/flat/64.png,1952,0.0
Francja,2,https://www.countryflags.io/fr/flat/64.png,1952,0.0
Indie,3,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/255px-Flag_of_India.svg.png,1952,0.0
Izrael,4,https://www.countryflags.io/il/flat/64.png,1952,0.0
Pakistan,5,https://www.countryflags.io/pk/flat/64.png,1952,0.0
Rosja,6,https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/255px-Flag_of_Russia.svg.png,1952,50.0
Wielka Brytania,7,https://www.countryflags.io/gb/flat/64.png,1952,0.0
USA,8,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/220px-Flag_of_the_United_States.svg.png,1952,841.0
Korea Pó³nocna,9,https://democracychronicles.org/wp-content/uploads/NK-flag.jpg,1952,
Chiny,1,https://www.countryflags.io/cn/flat/64.png,1953,0.0
Francja,2,https://www.countryflags.io/fr/flat/64.png,1953,0.0
Indie,3,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/255px-Flag_of_India.svg.png,1953,0.0
Izrael,4,https://www.countryflags.io/il/flat/64.png,1953,0.0
Pakistan,5,https://www.countryflags.io/pk/flat/64.png,1953,0.0
Rosja,6,https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/255px-Flag_of_Russia.svg.png,1953,120.0
Wielka Brytania,7,https://www.countryflags.io/gb/flat/64.png,1953,1.0
USA,8,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/220px-Flag_of_the_United_States.svg.png,1953,1169.0
Korea Pó³nocna,9,https://democracychronicles.org/wp-content/uploads/NK-flag.jpg,1953,
Chiny,1,https://www.countryflags.io/cn/flat/64.png,1954,0.0
Francja,2,https://www.countryflags.io/fr/flat/64.png,1954,0.0
Indie,3,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/255px-Flag_of_India.svg.png,1954,0.0
Izrael,4,https://www.countryflags.io/il/flat/64.png,1954,0.0
Pakistan,5,https://www.countryflags.io/pk/flat/64.png,1954,0.0
Rosja,6,https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/255px-Flag_of_Russia.svg.png,1954,150.0
Wielka Brytania,7,https://www.countryflags.io/gb/flat/64.png,1954,5.0
USA,8,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/220px-Flag_of_the_United_States.svg.png,1954,1703.0
Korea Pó³nocna,9,https://democracychronicles.org/wp-content/uploads/NK-flag.jpg,1954,
Chiny,1,https://www.countryflags.io/cn/flat/64.png,1955,0.0
Francja,2,https://www.countryflags.io/fr/flat/64.png,1955,0.0
Indie,3,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/255px-Flag_of_India.svg.png,1955,0.0
Izrael,4,https://www.countryflags.io/il/flat/64.png,1955,0.0
Pakistan,5,https://www.countryflags.io/pk/flat/64.png,1955,0.0
Rosja,6,https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/255px-Flag_of_Russia.svg.png,1955,200.0
Wielka Brytania,7,https://www.countryflags.io/gb/flat/64.png,1955,10.0
USA,8,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/220px-Flag_of_the_United_States.svg.png,1955,2422.0
Korea Pó³nocna,9,https://democracychronicles.org/wp-content/uploads/NK-flag.jpg,1955,
Chiny,1,https://www.countryflags.io/cn/flat/64.png,1956,0.0
Francja,2,https://www.countryflags.io/fr/flat/64.png,1956,0.0
Indie,3,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/255px-Flag_of_India.svg.png,1956,0.0
Izrael,4,https://www.countryflags.io/il/flat/64.png,1956,0.0
Pakistan,5,https://www.countryflags.io/pk/flat/64.png,1956,0.0
